,grid_id,station_name,buffer_km,est_population_2020,centroid_lat,centroid_lon,centroid_maps_link,cluster_type,nearest_road_lat,nearest_road_lon,distance_to_road,nearest_road_maps_link,found_at_radius,processing_success,nearest_address_full,village,district,region,country,nearest_village_lat,nearest_village_lon,dist_point_to_nearest_address_km,geometry
0,21965,Aisa FM,25.0,412.02838134765625,1.2427973838343365,33.78459505434681,"https://www.google.com/maps?q=1.2427973838343365,33.78459505434681",main,1.2439385,33.78216340000001,298.5969713541069,"https://www.google.com/maps?q=1.2439385,33.78216340000001",25,True,"Komolo -manga, Pallisa, Eastern Region, Uganda",Komolo -manga,Pallisa,Eastern Region,Uganda,1.2473019,33.7806277,0.4092998349617411,"POLYGON ((33.789087720369345 1.238272846674644, 33.78909040532521 1.2473192538553335, 33.78010239055911 1.2473219506577125, 33.78009973617822 1.2382755239121106, 33.789087720369345 1.238272846674644))"
1,22136,Aisa FM,25.0,867.115966796875,1.2518410784070555,33.79358575412983,"https://www.google.com/maps?q=1.2518410784070555,33.79358575412983",main,1.2523246,33.7940621,75.29291828349349,"https://www.google.com/maps?q=1.2523246,33.7940621",25,True,"Kachede, Pallisa, Eastern Region, Uganda",Kachede,Pallisa,Eastern Region,Uganda,1.2520556960898883,33.795196636310806,0.12971979395029382,"POLYGON ((33.79807840053194 1.24731652616738, 33.79808113584456 1.2563629129288554, 33.78909310984045 1.2563656604059215, 33.78909040532521 1.2473192538553335, 33.79807840053194 1.24731652616738))"
2,21627,Aisa FM,25.0,1342.766845703125,1.260895606346787,33.766624271881355,"https://www.google.com/maps?q=1.260895606346787,33.766624271881355",replacement,1.2594365,33.7662388,166.9465710112107,"https://www.google.com/maps?q=1.2594365,33.7662388",25,True,"Kapuwai, Pallisa, Eastern Region, Uganda",Kapuwai,Pallisa,Eastern Region,Uganda,1.262748771751475,33.76613591556418,0.3664327745702977,"POLYGON ((33.77111699937585 1.2563710620307793, 33.77111966140956 1.2654175068529612, 33.76213154637343 1.2654201801171034, 33.76212891536083 1.256373716177906, 33.77111699937585 1.2563710620307793))"
3,20438,Aisa FM,25.0,1109.628173828125,1.2699600696672946,33.703709560590376,"https://www.google.com/maps?q=1.2699600696672946,33.703709560590376",main,1.2700466,33.7037253,9.727098588008534,"https://www.google.com/maps?q=1.2700466,33.7037253",25,True,"Odusai, Pallisa, Eastern Region, Uganda",Odusai,Pallisa,Eastern Region,Uganda,1.2697977344875335,33.70383628932957,0.03016343758365541,"POLYGON ((33.70820246722493 1.265435561661601, 33.708204929659495 1.2744821349589983, 33.69921665581242 1.2744846064219288, 33.699214224623915 1.2654380155760105, 33.70820246722493 1.265435561661601))"
4,21119,Aisa FM,25.0,802.255126953125,1.2789964771148659,33.7396650324489,"https://www.google.com/maps?q=1.2789964771148659,33.7396650324489",replacement,1.2773514,33.7380719,254.01852909283068,"https://www.google.com/maps?q=1.2773514,33.7380719",25,True,"Komolo Kobwin, Pallisa, Eastern Region, Uganda",Komolo Kobwin,Pallisa,Eastern Region,Uganda,1.2773184575182912,33.7380350760635,0.005483058234779256,"POLYGON ((33.74415784726423 1.2744719335032875, 33.74416045312659 1.2835184337225054, 33.73517221937088 1.2835210498714194, 33.735169644976104 1.2744745312071892, 33.74415784726423 1.2744719335032875))"
5,22480,Aisa FM,25.0,722.7393188476562,1.2880209626754824,33.81157302265423,"https://www.google.com/maps?q=1.2880209626754824,33.81157302265423",main,1.2884319,33.811392,49.70518607353852,"https://www.google.com/maps?q=1.2884319,33.811392",25,True,"Nyakoi -ogalai, Pallisa, Eastern Region, Uganda",Nyakoi -ogalai,Pallisa,Eastern Region,Uganda,1.290022211240704,33.80983004114771,0.2472660207947672,"POLYGON ((33.8160656403706 1.2834963603516185, 33.81606851819065 1.2925427042949922, 33.80708040656 1.2925455949406663, 33.807077560427594 1.2834992307595063, 33.8160656403706 1.2834963603516185))"
6,21972,Aisa FM,25.0,324.90045166015625,1.3061222869486002,33.78461421855793,"https://www.google.com/maps?q=1.3061222869486002,33.78461421855793",main,1.3061185,33.7847785,18.287801410306834,"https://www.google.com/maps?q=1.3061185,33.7847785",25,True,"Oboliso -kateki, Pallisa, Eastern Region, Uganda",Oboliso -kateki,Pallisa,Eastern Region,Uganda,1.3059905,33.7819554,0.3145035941555332,"POLYGON ((33.789106925818906 1.3015976835474954, 33.78910974769744 1.3106440862215694, 33.780121512669744 1.3106469199819668, 33.7801187229254 1.3016004977420663, 33.789106925818906 1.3015976835474954))"
7,21805,Aisa FM,25.0,690.0777587890625,1.3332643874979537,33.775634397502365,"https://www.google.com/maps?q=1.3332643874979537,33.775634397502365",main,1.3333484,33.775157,53.935390329472554,"https://www.google.com/maps?q=1.3333484,33.775157",25,True,"Kadami, Kumi, Eastern Region, Uganda",Kadami,Kumi,Eastern Region,Uganda,1.3328145327364909,33.77513260642874,0.05909469623170722,"POLYGON ((33.780127150175765 1.3287397624713972, 33.780129997938126 1.3377861827117956, 33.77114164583125 1.3377890420437653, 33.77113883087172 1.3287426024612223, 33.780127150175765 1.3287397624713972))"
8,20609,Aisa FM,25.0,1777.92041015625,1.279004155352232,33.71270029693309,"https://www.google.com/maps?q=1.279004155352232,33.71270029693309",replacement,1.2799812,33.7131411,118.65312814995673,"https://www.google.com/maps?q=1.2799812,33.7131411",25,True,"Kapuwai, Pallisa, Eastern Region, Uganda",Kapuwai,Pallisa,Eastern Region,Uganda,1.280084726416927,33.71321963613993,0.014402727304560561,"POLYGON ((33.717193185950975 1.2744796319353588, 33.71719569740965 1.2835261868173404, 33.70820740964965 1.283528707613715, 33.708204929659495 1.2744821349589983, 33.717193185950975 1.2744796319353588))"
9,20270,Aisa FM,25.0,1273.5386962890625,1.2880557143589886,33.69472615928583,"https://www.google.com/maps?q=1.2880557143589886,33.69472615928583",main,1.2887487,33.6949486,80.52645924897095,"https://www.google.com/maps?q=1.2887487,33.6949486",25,True,"Kapuwai, Pallisa, Eastern Region, Uganda",Kapuwai,Pallisa,Eastern Region,Uganda,1.288720051086117,33.69493530540597,0.0034963425451673682,"POLYGON ((33.69921910433375 1.2835311966252827, 33.699221570188215 1.292577786181515, 33.690233215847286 1.292580260732625, 33.69023078168472 1.283533653851738, 33.69921910433375 1.2835311966252827))"
