,count,sum,nodata,grid_id,station_name,buffer_km,valid_pixels,nodata_pixels,total_pixels,prop_nodata,population_count,household_count
1263,24,224.9671936035156,97.0,22475,Aisa FM,25.0,24,97.0,121.0,0.8016528925619835,224.9671936035156,45.91167216398277
1264,59,626.4961547851562,62.0,22305,Aisa FM,25.0,59,62.0,121.0,0.512396694214876,626.4961547851562,127.85635811941964
1265,78,853.466796875,43.0,22135,Aisa FM,25.0,78,43.0,121.0,0.3553719008264462,853.466796875,174.17689732142856
1266,70,734.9652709960938,51.0,22476,Aisa FM,25.0,70,51.0,121.0,0.4214876033057851,734.9652709960938,149.99291244818238
1267,50,559.8323364257812,71.0,22306,Aisa FM,25.0,50,71.0,121.0,0.5867768595041323,559.8323364257812,114.25149722975127
1268,39,412.02838134765625,71.0,21965,Aisa FM,25.0,39,71.0,110.0,0.6454545454545455,412.02838134765625,84.0874247648278
1269,43,474.7267761230469,78.0,21795,Aisa FM,25.0,43,78.0,121.0,0.6446280991735537,474.7267761230469,96.88301553531568
1270,25,294.91229248046875,96.0,21625,Aisa FM,25.0,25,96.0,121.0,0.7933884297520661,294.91229248046875,60.18618213887117
1271,60,634.713623046875,50.0,21966,Aisa FM,25.0,60,50.0,110.0,0.4545454545454545,634.713623046875,129.5333924585459
1272,84,971.7482299804688,37.0,21796,Aisa FM,25.0,84,37.0,121.0,0.3057851239669421,971.7482299804688,198.31596530213648
1273,75,914.7841796875,46.0,21456,Aisa FM,25.0,75,46.0,121.0,0.3801652892561983,914.7841796875,186.69064891581633
1274,52,618.833984375,58.0,21286,Aisa FM,25.0,52,58.0,110.0,0.5272727272727272,618.833984375,126.29264987244898
1275,75,878.211181640625,46.0,21116,Aisa FM,25.0,75,46.0,121.0,0.3801652892561983,878.211181640625,179.22677176339283
1276,67,919.8878784179688,54.0,21457,Aisa FM,25.0,67,54.0,121.0,0.4462809917355372,919.8878784179688,187.73222008529973
1277,70,1134.7919921875,40.0,21287,Aisa FM,25.0,70,40.0,110.0,0.3636363636363636,1134.7919921875,231.59020248724488
1278,87,1185.646728515625,34.0,21117,Aisa FM,25.0,87,34.0,121.0,0.2809917355371901,1185.646728515625,241.96872010522958
1279,74,978.8771362304688,47.0,20947,Aisa FM,25.0,74,47.0,121.0,0.3884297520661157,978.8771362304688,199.77084412866708
1280,83,867.115966796875,38.0,22136,Aisa FM,25.0,83,38.0,121.0,0.3140495867768595,867.115966796875,176.96244220344386
1281,55,626.2158813476562,66.0,22477,Aisa FM,25.0,55,66.0,121.0,0.5454545454545454,626.2158813476562,127.79915945870535
1282,65,743.68115234375,56.0,22307,Aisa FM,25.0,65,56.0,121.0,0.4628099173553719,743.68115234375,151.77166374362244
1283,64,718.5045166015625,57.0,22137,Aisa FM,25.0,64,57.0,121.0,0.4710743801652892,718.5045166015625,146.6335748166454
1284,59,650.4685668945312,62.0,22478,Aisa FM,25.0,59,62.0,121.0,0.512396694214876,650.4685668945312,132.7486871213329
1285,23,216.52227783203125,98.0,22308,Aisa FM,25.0,23,98.0,121.0,0.8099173553719008,216.52227783203125,44.18821996572066
1286,62,631.5634765625,59.0,22138,Aisa FM,25.0,62,59.0,121.0,0.4876033057851239,631.5634765625,128.89050542091834
1287,29,283.5834350585937,92.0,22479,Aisa FM,25.0,29,92.0,121.0,0.7603305785123967,283.5834350585937,57.87417042012116
1288,63,636.3878784179688,58.0,22309,Aisa FM,25.0,63,58.0,121.0,0.4793388429752066,636.3878784179688,129.87507722815687
1289,70,800.19580078125,51.0,22139,Aisa FM,25.0,70,51.0,121.0,0.4214876033057851,800.19580078125,163.3052654655612
1290,24,288.6503295898437,97.0,21626,Aisa FM,25.0,24,97.0,121.0,0.8016528925619835,288.6503295898437,58.90823052853953
1291,56,586.50830078125,54.0,21967,Aisa FM,25.0,56,54.0,110.0,0.4909090909090909,586.50830078125,119.6955715880102
1292,83,1071.5933837890625,38.0,21797,Aisa FM,25.0,83,38.0,121.0,0.3140495867768595,1071.5933837890625,218.6925273038903
1293,93,1342.766845703125,28.0,21627,Aisa FM,25.0,93,28.0,121.0,0.2314049586776859,1342.766845703125,274.0340501434949
1294,71,759.8775024414062,39.0,21968,Aisa FM,25.0,71,39.0,110.0,0.3545454545454545,759.8775024414062,155.07704131457268
1295,77,946.3715209960938,44.0,21798,Aisa FM,25.0,77,44.0,121.0,0.3636363636363636,946.3715209960938,193.13704510124361
1296,67,807.8187866210938,54.0,21628,Aisa FM,25.0,67,54.0,121.0,0.4462809917355372,807.8187866210938,164.86097686144768
1297,75,835.332275390625,35.0,21969,Aisa FM,25.0,75,35.0,110.0,0.3181818181818182,835.332275390625,170.4759745695153
1298,56,580.4059448242188,65.0,21799,Aisa FM,25.0,56,65.0,121.0,0.5371900826446281,580.4059448242188,118.45019282126913
1299,66,833.1605834960938,55.0,21629,Aisa FM,25.0,66,55.0,121.0,0.4545454545454545,833.1605834960938,170.03277214205994
1300,61,739.85693359375,60.0,20777,Aisa FM,25.0,61,60.0,121.0,0.4958677685950413,739.85693359375,150.9912109375
1301,84,1127.1505126953125,37.0,20607,Aisa FM,25.0,84,37.0,121.0,0.3057851239669421,1127.1505126953125,230.03071687659437
1302,58,781.1618041992188,63.0,20778,Aisa FM,25.0,58,63.0,121.0,0.5206611570247934,781.1618041992188,159.4207763671875
1303,65,762.9437866210938,56.0,20608,Aisa FM,25.0,65,56.0,121.0,0.4628099173553719,762.9437866210938,155.70281359614157
1304,78,1109.628173828125,32.0,20438,Aisa FM,25.0,78,32.0,110.0,0.2909090909090909,1109.628173828125,226.45472935267856
1305,27,370.6509704589844,94.0,20779,Aisa FM,25.0,27,94.0,121.0,0.7768595041322314,370.6509704589844,75.64305519571109
1306,75,1066.8662109375,46.0,20268,Aisa FM,25.0,75,46.0,121.0,0.3801652892561983,1066.8662109375,217.72779815051018
1307,56,721.4530639648438,65.0,20269,Aisa FM,25.0,56,65.0,121.0,0.5371900826446281,721.4530639648438,147.2353191764987
1308,66,881.22607421875,55.0,20099,Aisa FM,25.0,66,55.0,121.0,0.4545454545454545,881.22607421875,179.84205596301018
1309,87,1152.6827392578125,34.0,21458,Aisa FM,25.0,87,34.0,121.0,0.2809917355371901,1152.6827392578125,235.24137535873723
1310,44,585.0052490234375,66.0,21288,Aisa FM,25.0,44,66.0,110.0,0.6,585.0052490234375,119.38882633131377
1311,37,535.7155151367188,84.0,21118,Aisa FM,25.0,37,84.0,121.0,0.6942148760330579,535.7155151367188,109.32969696667729
1312,52,778.3439331054688,69.0,20948,Aisa FM,25.0,52,69.0,121.0,0.5702479338842975,778.3439331054688,158.84570063376913
1313,64,749.34765625,57.0,21459,Aisa FM,25.0,64,57.0,121.0,0.4710743801652892,749.34765625,152.92809311224488
1314,84,1036.54931640625,26.0,21289,Aisa FM,25.0,84,26.0,110.0,0.2363636363636363,1036.54931640625,211.54067681760202
1315,61,802.255126953125,60.0,21119,Aisa FM,25.0,61,60.0,121.0,0.4958677685950413,802.255126953125,163.72553611288265
1316,70,899.6443481445312,51.0,20949,Aisa FM,25.0,70,51.0,121.0,0.4214876033057851,899.6443481445312,183.60088737643494
1317,75,851.7078857421875,46.0,21460,Aisa FM,25.0,75,46.0,121.0,0.3801652892561983,851.7078857421875,173.81793586575253
1318,57,674.1505737304688,53.0,21290,Aisa FM,25.0,57,53.0,110.0,0.4818181818181818,674.1505737304688,137.581749740912
1319,65,724.7626342773438,56.0,21120,Aisa FM,25.0,65,56.0,121.0,0.4628099173553719,724.7626342773438,147.91074168925383
1320,57,723.0081787109375,64.0,20950,Aisa FM,25.0,57,64.0,121.0,0.5289256198347108,723.0081787109375,147.55268953284437
1321,23,216.6434631347656,87.0,21461,Aisa FM,25.0,23,87.0,110.0,0.7909090909090909,216.6434631347656,44.21295166015624
1322,58,700.6658935546875,42.0,21291,Aisa FM,25.0,58,42.0,100.0,0.42,700.6658935546875,142.99303950095663
1323,49,563.9085083007812,61.0,21121,Aisa FM,25.0,49,61.0,110.0,0.5545454545454546,563.9085083007812,115.08336904097575
1324,72,773.0721435546875,38.0,20951,Aisa FM,25.0,72,38.0,110.0,0.3454545454545454,773.0721435546875,157.76982521524235
1326,80,864.3140258789062,30.0,21292,Aisa FM,25.0,80,30.0,110.0,0.2727272727272727,864.3140258789062,176.39061752630738
1327,76,793.443115234375,45.0,21122,Aisa FM,25.0,76,45.0,121.0,0.371900826446281,793.443115234375,161.92716637436223
1328,79,892.2147216796875,42.0,20952,Aisa FM,25.0,79,42.0,121.0,0.3471074380165289,892.2147216796875,182.08463707748723
1329,65,722.7393188476562,56.0,22480,Aisa FM,25.0,65,56.0,121.0,0.4628099173553719,722.7393188476562,147.49782017299106
1330,60,655.4939575195312,61.0,22310,Aisa FM,25.0,60,61.0,121.0,0.5041322314049587,655.4939575195312,133.7742770448023
1331,42,430.8604736328125,79.0,22140,Aisa FM,25.0,42,79.0,121.0,0.6528925619834711,430.8604736328125,87.9307089046556
1332,19,201.0258636474609,91.0,22481,Aisa FM,25.0,19,91.0,110.0,0.8272727272727273,201.0258636474609,41.02568645866549
1333,66,679.017578125,44.0,22311,Aisa FM,25.0,66,44.0,110.0,0.4,679.017578125,138.57501594387753
1334,65,690.1572265625,45.0,22141,Aisa FM,25.0,65,45.0,110.0,0.4090909090909091,690.1572265625,140.84841358418367
1335,31,274.1560363769531,90.0,22482,Aisa FM,25.0,31,90.0,121.0,0.743801652892562,274.1560363769531,55.95021150550063
1336,67,657.4132690429688,54.0,22312,Aisa FM,25.0,67,54.0,121.0,0.4462809917355372,657.4132690429688,134.16597327407524
1337,70,718.301513671875,51.0,22142,Aisa FM,25.0,70,51.0,121.0,0.4214876033057851,718.301513671875,146.59214564732142
1339,75,878.1769409179688,35.0,21970,Aisa FM,25.0,75,35.0,110.0,0.3181818181818182,878.1769409179688,179.21978386080994
1340,67,718.4478759765625,54.0,21800,Aisa FM,25.0,67,54.0,121.0,0.4462809917355372,718.4478759765625,146.6220155054209
