count,sum,nodata,grid_id,station_name,buffer_km,valid_pixels,nodata_pixels,total_pixels,prop_nodata,population_count
23,216.64346313476562,87.0,21461,Aisa FM,20.0,23,87.0,110.0,0.7909090909090909,216.64346313476562
58,700.6658935546875,42.0,21291,Aisa FM,20.0,58,42.0,100.0,0.42,700.6658935546875
10,87.02618408203125,111.0,21462,Aisa FM,20.0,10,111.0,121.0,0.9173553719008265,87.02618408203125
80,864.3140258789062,30.0,21292,Aisa FM,20.0,80,30.0,110.0,0.2727272727272727,864.3140258789062
76,793.443115234375,45.0,21122,Aisa FM,20.0,76,45.0,121.0,0.371900826446281,793.443115234375
79,892.2147216796875,42.0,20952,Aisa FM,20.0,79,42.0,121.0,0.34710743801652894,892.2147216796875
65,722.7393188476562,56.0,22480,Aisa FM,20.0,65,56.0,121.0,0.4628099173553719,722.7393188476562
60,655.4939575195312,61.0,22310,Aisa FM,20.0,60,61.0,121.0,0.5041322314049587,655.4939575195312
42,430.8604736328125,79.0,22140,Aisa FM,20.0,42,79.0,121.0,0.6528925619834711,430.8604736328125
19,201.02586364746094,91.0,22481,Aisa FM,20.0,19,91.0,110.0,0.8272727272727273,201.02586364746094
66,679.017578125,44.0,22311,Aisa FM,20.0,66,44.0,110.0,0.4,679.017578125
65,690.1572265625,45.0,22141,Aisa FM,20.0,65,45.0,110.0,0.4090909090909091,690.1572265625
31,274.1560363769531,90.0,22482,Aisa FM,20.0,31,90.0,121.0,0.743801652892562,274.1560363769531
67,657.4132690429688,54.0,22312,Aisa FM,20.0,67,54.0,121.0,0.4462809917355372,657.4132690429688
70,718.301513671875,51.0,22142,Aisa FM,20.0,70,51.0,121.0,0.4214876033057851,718.301513671875
0,,121.0,22483,Aisa FM,20.0,0,121.0,121.0,1.0,
75,878.1769409179688,35.0,21970,Aisa FM,20.0,75,35.0,110.0,0.3181818181818182,878.1769409179688
67,718.4478759765625,54.0,21800,Aisa FM,20.0,67,54.0,121.0,0.4462809917355372,718.4478759765625
45,473.20855712890625,55.0,21971,Aisa FM,20.0,45,55.0,100.0,0.55,473.20855712890625
52,504.385986328125,58.0,21801,Aisa FM,20.0,52,58.0,110.0,0.5272727272727272,504.385986328125
66,689.6845703125,44.0,21631,Aisa FM,20.0,66,44.0,110.0,0.4,689.6845703125
32,324.90045166015625,78.0,21972,Aisa FM,20.0,32,78.0,110.0,0.7090909090909091,324.90045166015625
64,652.4141845703125,57.0,21802,Aisa FM,20.0,64,57.0,121.0,0.47107438016528924,652.4141845703125
48,460.54315185546875,73.0,21632,Aisa FM,20.0,48,73.0,121.0,0.6033057851239669,460.54315185546875
9,76.437255859375,101.0,21973,Aisa FM,20.0,9,101.0,110.0,0.9181818181818182,76.437255859375
0,,121.0,21463,Aisa FM,20.0,0,121.0,121.0,1.0,
24,256.9297180175781,86.0,21293,Aisa FM,20.0,24,86.0,110.0,0.7818181818181819,256.9297180175781
